z_position,r_position,grad_r,grad_z,magnitude,direction
0.2,0.0,-0.0,0.01228156455845385,3.525303471431327e-08,1.5707963267948966
0.2,0.01,2.3893346891482898e-05,0.012368482625440012,3.550259080340445e-08,1.5688645363002014
0.2,0.023333333333333334,0.0017100424031131418,0.013526256594857747,3.913484853142844e-08,1.4450395637280251
0.198,0.03666666666666667,0.0018349291927439943,0.013407093705430313,3.8842510862582965e-08,1.434778828157747
0.194,0.05,0.0017454251047248788,0.012177132696235911,3.5310510306674857e-08,1.428429732987077
0.19,0.06333333333333334,0.00010131442329614316,0.010600150601945862,3.0428089478723604e-08,1.5612387891546389
0.19,0.07666666666666667,3.383029442725032e-05,0.011602760467883704,3.330473526186361e-08,1.5678806242210621
0.19,0.09000000000000001,3.368364709455279e-05,0.012184851231340386,3.4975562167709004e-08,1.5680319466105357
0.19,0.10333333333333335,4.098956371524167e-05,0.012825268314923527,3.68138713996354e-08,1.5676003371946732
0.19,0.11666666666666667,5.276336892715899e-05,0.013625780242498477,3.9111768129278376e-08,1.5669240270612925
0.19,0.13,6.965785513446565e-05,0.014667590875152516,4.210236561218947e-08,1.56604726254516
0.19,0.14333333333333334,9.384356366372135e-05,0.01605394147485272,4.6082062477563855e-08,1.5649508778780163
0.19,0.15666666666666668,0.0001294577784587161,0.017938224576263002,5.1491267140321175e-08,1.5635795852241314
0.19,0.17,0.0001844353875391276,0.020568551543851375,5.904239711619123e-08,1.5618297039274074
0.19,0.18333333333333335,0.00027534422168416344,0.024380494382574364,6.998629702420817e-08,1.559503179416255
0.19,0.19666666666666668,0.00044165592032348696,0.030221824765065006,8.675806676005242e-08,1.5561835597870444
0.19,0.21000000000000002,0.0007980107866629996,0.04000262549761389,1.1484648521717139e-07,1.550850012198146
0.19,0.22333333333333336,0.0018073694978962556,0.05914947125064081,1.6986203729079651e-07,1.5402498606872488
0.19,0.2366666666666667,0.0072430905400015936,0.11167958292116299,3.2123885362544945e-07,1.5060310369652705
0.19,0.25,0.8528747647500262,0.5221155386048065,2.8704025897129955e-06,0.5493295525465974
